date,value,sourceName
2022-12-02 01:53:11 +0100,62.0,Oura
2022-12-02 01:58:11 +0100,61.0,Oura
2022-12-02 02:03:11 +0100,62.0,Oura
2022-12-02 02:08:11 +0100,63.0,Oura
2022-12-02 02:13:11 +0100,64.0,Oura
2022-12-02 02:18:11 +0100,65.0,Oura
2022-12-02 02:23:11 +0100,66.0,Oura
2022-12-02 02:28:11 +0100,64.0,Oura
2022-12-02 02:33:11 +0100,65.0,Oura
2022-12-02 02:38:11 +0100,65.0,Oura
2022-12-02 02:43:11 +0100,66.0,Oura
2022-12-02 02:48:11 +0100,67.0,Oura
2022-12-02 02:53:11 +0100,67.0,Oura
2022-12-02 02:58:11 +0100,72.0,Oura
2022-12-02 03:03:11 +0100,70.0,Oura
2022-12-02 03:08:11 +0100,69.0,Oura
2022-12-02 03:13:11 +0100,68.0,Oura
2022-12-02 03:18:11 +0100,69.0,Oura
2022-12-02 03:23:11 +0100,69.0,Oura
2022-12-02 03:28:11 +0100,68.0,Oura
2022-12-02 03:33:11 +0100,69.0,Oura
2022-12-02 03:38:11 +0100,67.0,Oura
2022-12-02 03:43:11 +0100,67.0,Oura
2022-12-02 03:48:11 +0100,66.0,Oura
2022-12-02 03:53:11 +0100,66.0,Oura
2022-12-02 03:58:11 +0100,66.0,Oura
2022-12-02 04:03:11 +0100,65.0,Oura
2022-12-02 04:08:11 +0100,65.0,Oura
2022-12-02 04:13:11 +0100,67.0,Oura
2022-12-02 04:18:11 +0100,67.0,Oura
2022-12-02 04:23:11 +0100,68.0,Oura
2022-12-02 04:28:11 +0100,68.0,Oura
2022-12-02 04:33:11 +0100,70.0,Oura
2022-12-02 04:38:11 +0100,68.0,Oura
2022-12-02 04:43:11 +0100,72.0,Oura
2022-12-02 04:48:11 +0100,73.0,Oura
2022-12-02 04:53:11 +0100,69.0,Oura
2022-12-02 04:58:11 +0100,67.0,Oura
2022-12-02 05:03:11 +0100,64.0,Oura
2022-12-02 05:08:11 +0100,66.0,Oura
2022-12-02 05:13:11 +0100,68.0,Oura
2022-12-02 05:18:11 +0100,68.0,Oura
2022-12-02 05:23:11 +0100,69.0,Oura
2022-12-02 05:28:11 +0100,68.0,Oura
2022-12-02 05:33:11 +0100,68.0,Oura
2022-12-02 05:38:11 +0100,67.0,Oura
2022-12-02 05:43:11 +0100,67.0,Oura
2022-12-02 05:48:11 +0100,67.0,Oura
2022-12-02 05:53:11 +0100,66.0,Oura
2022-12-02 05:58:11 +0100,66.0,Oura
2022-12-02 06:03:11 +0100,66.0,Oura
2022-12-02 06:18:11 +0100,63.0,Oura
2022-12-02 06:23:11 +0100,66.0,Oura
2022-12-02 06:28:11 +0100,64.0,Oura
2022-12-02 06:33:11 +0100,65.0,Oura
2022-12-02 06:38:11 +0100,61.0,Oura
2022-12-02 06:43:11 +0100,66.0,Oura
2022-12-02 06:53:11 +0100,67.0,Oura
2022-12-02 06:58:11 +0100,64.0,Oura
2022-12-02 07:03:11 +0100,64.0,Oura
2022-12-02 07:08:11 +0100,64.0,Oura
2022-12-02 07:13:11 +0100,64.0,Oura
2022-12-02 07:18:11 +0100,65.0,Oura
2022-12-02 07:23:11 +0100,64.0,Oura
2022-12-02 07:28:11 +0100,61.0,Oura
2022-12-02 07:33:11 +0100,60.0,Oura
2022-12-02 07:38:11 +0100,61.0,Oura
2022-12-02 07:43:11 +0100,62.0,Oura
2022-12-02 01:53:00 +0100,78,Alpha Watch
2022-12-02 01:54:00 +0100,73,Alpha Watch
2022-12-02 01:55:00 +0100,59,Alpha Watch
2022-12-02 01:56:00 +0100,59,Alpha Watch
2022-12-02 01:57:00 +0100,61,Alpha Watch
2022-12-02 01:58:00 +0100,63,Alpha Watch
2022-12-02 01:59:00 +0100,64,Alpha Watch
2022-12-02 02:00:00 +0100,65,Alpha Watch
2022-12-02 02:01:00 +0100,64,Alpha Watch
2022-12-02 02:03:00 +0100,63,Alpha Watch
2022-12-02 02:04:00 +0100,64,Alpha Watch
2022-12-02 02:05:00 +0100,65,Alpha Watch
2022-12-02 02:06:00 +0100,62,Alpha Watch
2022-12-02 02:07:00 +0100,63,Alpha Watch
2022-12-02 02:08:00 +0100,64,Alpha Watch
2022-12-02 02:09:00 +0100,64,Alpha Watch
2022-12-02 02:10:00 +0100,65,Alpha Watch
2022-12-02 02:11:00 +0100,65,Alpha Watch
2022-12-02 02:12:00 +0100,65,Alpha Watch
2022-12-02 02:14:00 +0100,64,Alpha Watch
2022-12-02 02:15:00 +0100,65,Alpha Watch
2022-12-02 02:16:00 +0100,66,Alpha Watch
2022-12-02 02:17:00 +0100,66,Alpha Watch
2022-12-02 02:18:00 +0100,65,Alpha Watch
2022-12-02 02:19:00 +0100,65,Alpha Watch
2022-12-02 02:20:00 +0100,66,Alpha Watch
2022-12-02 02:21:00 +0100,65,Alpha Watch
2022-12-02 02:22:00 +0100,68,Alpha Watch
2022-12-02 02:24:00 +0100,75,Alpha Watch
2022-12-02 02:25:00 +0100,75,Alpha Watch
2022-12-02 02:26:00 +0100,73,Alpha Watch
2022-12-02 02:27:00 +0100,66,Alpha Watch
2022-12-02 02:28:00 +0100,65,Alpha Watch
